name,x,y,z,rh
[KPS2012]_MWSC_2083,-1688.385050439804,-526.4122082874915,-7743.609953272264,17.326595239710098
NGC_1520,118.67953317847483,201.21009427646297,-995.9712176392428,1.3470090015962055
[KPS2012]_MWSC_1673,-296.58492727090066,230.1239500262645,-1515.190202100061,1.144035042451572
[KPS2012]_MWSC_1940,-912.4185381748998,148.18814683396087,-3453.4269478783963,1.716052563677358
[KPS2012]_MWSC_5676,-273.62378983349583,320.6082815312402,-1547.6292680906304,3.207156305224554
ESO_43-13,-95.99033565915171,-390.31247875403716,-1434.762009668824,1.1255828643475143
[FSR2007]_1647,-602.7832634188168,-299.49744734451247,-2341.1641583571795,2.8785397842329874
[KPS2012]_MWSC_2112,-849.3292899495979,-320.9347948008688,-3079.961300847762,7.860627872328543
[KPS2012]_MWSC_4138,-425.7349746230421,335.27112334688604,-1829.4280541285123,3.207156305224554
[KPS2012]_MWSC_5671,-160.39476656506966,549.3970880235084,-1917.4038068518132,3.207156305224554
[KPS2012]_MWSC_2453,-168.47883634429152,-497.98776810837666,-1701.641579334059,0.9964176176191112
[KPS2012]_MWSC_1720,-384.7742409203282,243.75361738101523,-1467.958431815375,0.7011827679541893
[KPS2012]_MWSC_2214,-1297.2336838578597,-922.6060865878355,-4924.084460938464,5.1666098691361295
[KPS2012]_MWSC_2079,-2370.4055259779634,-647.5432548926184,-7299.497885160062,10.13024577912763
ESO_65-7,-1033.320122152922,-423.6199078143284,-3292.7685462020027,3.2844877025222545
[KPS2012]_MWSC_2181,-1225.130374344623,-672.4773102671955,-4001.9933574450124,2.1035483038625675
[KPS2012]_MWSC_5691,-108.75706656801547,-731.3483169523195,-2115.5099951932466,3.207156305224554
NGC_1557,273.60306747116687,543.6051564716887,-1715.236075683974,2.694018003192411
NGC_5359,-685.7478662882602,-395.91671519773786,-2223.726617304414,6.605879761252625
[KPS2012]_MWSC_5674,-318.45738245809724,516.8025963046045,-1697.7364259539102,3.207156305224554
[KPS2012]_MWSC_1799,-1100.145712237632,491.7349548711978,-3279.6207320364006,3.432105127354716
[KPR2005]_69,-306.45424012822167,-8.426223416209744,-832.336348759547,2.6755658250883534
ESO_65-3,-1029.281578294314,-234.31937461890868,-2858.300695039304,2.9523484966492184
[KPR2005]_51,-131.48114155281976,112.21284762668041,-467.03852757934095,1.2732002891799752
[KPS2012]_MWSC_2188,-1328.6445484052738,-751.2008002321346,-4053.142240499776,3.432105127354716
ESO_62-8,-635.9821606908247,290.9516186026597,-1855.5761495868398,0.8118958365785349
[KPS2012]_MWSC_1802,-611.5137170882391,269.7628083893816,-1747.5468523112045,1.3470090015962055
ESO_62-11,-605.0029280612006,223.3973258272892,-1683.1729981943597,2.1220004819666247
[KPS2012]_MWSC_1943,-655.3860184898248,92.59457189099331,-1700.741136100488,1.7345047417814154
[KPS2012]_MWSC_4483,168.89621928626983,-482.7420118895507,-1300.016621842826,3.207156305224554
ESO_64-5,-451.7568342505845,-48.91030181574572,-1152.668445427471,0.9041567270988228
NGC_1901,27.58641155434326,149.73244189324515,-382.4769668707971,1.3546774151643095
[KPR2005]_78,-715.8162392079599,-751.790568330109,-2622.5251768202465,2.970800674753276
Collinder_261,-919.4405238466461,-154.17502981225653,-2351.904672152125,3.404906037593209
[KPS2012]_MWSC_2139,-1398.2005892204058,-619.9621926884543,-3807.2681796716965,5.295775115864535
C_1102-676,-1101.078225467712,270.0262721451885,-2798.048168590428,2.2696179067990863
[KPS2012]_MWSC_1736,-494.9025105143363,289.14939926808836,-1400.226099595887,0.7011827679541893
[KPS2012]_MWSC_2151,-1374.8649762671862,-656.390709422539,-3714.7170193189154,2.2142613724869133
[KPR2005]_71,-475.9938709139642,-41.920332791544446,-1154.1114742307116,1.8733230984242384
Ruprecht_110,-415.39603134928944,-253.64175554427666,-1173.5766898603931,1.6976003855733002
NGC_2348,-112.40397597538391,398.1111220212272,-993.3020088109784,2.01128741334228
[KPR2005]_73,-248.2738298167863,-40.57186489149114,-598.542042639723,4.151705771012786
C_1250-669,-1972.4321072678404,-472.1557063785654,-4820.083498359039,4.59106964872387
[KPS2012]_MWSC_1971,-1118.446881200084,75.34925635120759,-2651.799401067344,2.767826715608642
C_1315-669,-744.2898980442556,-264.19567309921024,-1867.782536588488,1.5410406514501431
[KPS2012]_MWSC_2052,-2674.7932554249746,-425.2409481047658,-6362.536929306425,5.148157691032074
[KPS2012]_MWSC_5694,-7.106332024788505,-618.4479714318154,-1443.042482630718,3.207156305224554
[KPR2005]_57,-524.3828457229492,270.3162059199456,-1369.8627777732145,5.996957883818724
[KPS2012]_MWSC_2149,-1823.3067611463678,-863.1712904988232,-4669.909718401046,2.4910440440477783
[KPS2012]_MWSC_1396,-540.1453488027371,949.5410867859529,-2528.068576338886,1.992835235238222
[KPS2012]_MWSC_2039,-721.529092624315,-90.29751128310988,-1677.1482128758953,4.502331457390057
[KPR2005]_76,-286.9953977789306,-152.97316268024534,-744.5731012824172,10.148697957231686
C_1439-661,-148.8202022960178,-135.46820182855345,-462.05708963493964,2.936594693644779
[KPR2004b]_323,-603.9822519763408,-231.75031125708455,-1467.03660081466,1.9710296212117635
Cl_Alessi_6,-176.69391577587186,-148.56886163667568,-521.6145388032071,2.5797030746230485
